sample_id	site_all	input	filtered	percentage_of_input_passed_filter	denoised	merged	percentage_merged	non-chimeric	percentage_non-chimeric	Site	SVL	Tail_Length	Tail_Dropped	Total_Length	Repeat	Roommate(s)	Baby_Roommates	Days_Diff	Notes	Year	Date	Sample_Type	Crevice_Count	Pop_Abundance	Outcrop_Size	Pop_Density_Crevices	Pop_Density_Outcrop_Size	Sequencing_Run	Bdfix	Long	Lat
55C	1477	47369	37580	79.33	35100	30574	64.54	30396	64.17	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.587383	35.081568
55M	1477	27183	20264	74.55	19719	18704	68.81	17475	64.29	1477	5.6	5.8	0	11.4	0	0	0	NA	NA	2022	12-Oct	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
59C	NA	36014	28975	80.45	27945	26059	72.36	26020	72.25	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	NA	NA
BB1C	BB	56438	43116	76.4	41937	39520	70.02	38832	68.8	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.852169	34.957622
BB1M	BB	60758	47448	78.09	45342	40726	67.03	40285	66.3	BB	4.1	3.4	0	7.5	0	0	0	NA	drew did this one on 10/8	2023	8-Oct	Salamander	259	NA	192	NA	NA	2	0	-82.852169	34.957622
BLANK1	Blank	23919	13638	57.02	13473	13377	55.93	13377	55.93	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Blank	NA	NA	NA	NA	NA	2	0	NA	NA
BLANK2	Blank	52070	30627	58.82	30533	30298	58.19	30264	58.12	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Blank	NA	NA	NA	NA	NA	2	0	NA	NA
BLANK3	Blank	55007	32807	59.64	32666	32387	58.88	32387	58.88	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Blank	NA	NA	NA	NA	NA	2	0	NA	NA
C1	DNR	117916	65639	55.67	61597	51402	43.59	51120	43.35	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796764	34.951158
C21	BB	107087	59031	55.12	56939	52139	48.69	51822	48.39	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.852169	34.957622
C25	1250	111178	61989	55.76	59615	53548	48.16	53157	47.81	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796467	34.95265
C29	HW1	88887	51348	57.77	49699	46608	52.44	46509	52.32	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-83.025167	35.001167
C35	1251	73258	40255	54.95	39085	36209	49.43	36077	49.25	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796189	34.952367
C37	3688	127131	70078	55.12	67602	41586	32.71	41369	32.54	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.590964	35.082069
GS1	DNR	73900	37257	50.42	35736	30615	41.43	30317	41.02	DNR	5.5	5.6	0	11.1	0	0	0	NA	NA	2021	8-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS10	DNR	6469	2139	33.07	2050	2021	31.24	2021	31.24	DNR	5.5	5.9	0	11.4	0	0	0	NA	"Bare spot on dorsum, had to wash twice because it touched human skin the first time we tried to swaB          "	2021	10-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS11	3688	110076	54701	49.69	53317	49329	44.81	48998	44.51	3688	3.9	4.2	0	8.1	0	0	0	NA	NA	2021	12-Oct	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS12	3688	88294	46418	52.57	45687	43455	49.22	43366	49.12	3688	5.5	5.8	0	11.3	0	1	0	NA	NA	2021	12-Oct	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS13	DNR	30248	15427	51	15141	13927	46.04	13905	45.97	DNR	5.5	5.4	0	10.9	0	1	1	NA	with baby as roommate	2021	12-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS14	DNR	30968	17683	57.1	17492	16944	54.71	16944	54.71	DNR	NA	NA	0	NA	1	0	0	2	"Tiny bit of ethanol bath, washed off immediately, likely GS7"	2021	12-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS15	1251	27260	13855	50.83	13697	13478	49.44	13478	49.44	1251	NA	NA	0	NA	1	0	0	4	Same ID as GS2	2021	12-Oct	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS16	1251	87385	47379	54.22	47204	46184	52.85	46117	52.77	1251	5.4	4.8	0	10.2	0	1	1	NA	with babies as roommate	2021	12-Oct	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS17	1250	48688	25200	51.76	24942	24304	49.92	24277	49.86	1250	3.8	3.1	0	6.9	0	0	0	NA	"Found on rock face, not in crevice"	2021	12-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS18	BB	46549	26382	56.68	26227	25685	55.18	25560	54.91	BB	4.9	5	0	9.9	0	0	0	NA	"On rock face, not in crevice "	2021	12-Oct	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS19	3688	55713	31541	56.61	30908	29544	53.03	29510	52.97	3688	3.4	1.6	1	5	0	0	0	NA	"Juvenile salamander, lost tail but is in process of re-growing          "	2021	14-Oct	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS2	1251	58127	34675	59.65	34534	33740	58.05	33593	57.79	1251	3.8	4.1	0	7.9	0	1	0	NA	found with 1 other	2021	8-Oct	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS20	BB	79721	41848	52.49	40944	37457	46.99	37258	46.74	BB	NA	NA	0	NA	1	0	0	2	Same as GS18	2021	14-Oct	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS21	BB	44929	23118	51.45	22832	21542	47.95	21499	47.85	BB	4.9	5.2	0	10.1	0	0	0	NA	NA	2021	14-Oct	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS22	BB	96394	52416	54.38	51915	50203	52.08	48621	50.44	BB	5.7	6	0	11.7	0	0	0	NA	Found in Beech tree hole with multiple slugs          	2021	14-Oct	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS23	DNR	46413	21120	45.5	20225	16878	36.36	16855	36.32	DNR	3.9	4.1	0	8	0	1	0	NA	NA	2021	17-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS24	1250	39987	20228	50.59	19962	19230	48.09	19174	47.95	1250	3.3	3.5	0	6.8	0	1	0	NA	NA	2021	17-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS25	1250	3374	1110	32.9	1051	1045	30.97	1045	30.97	1250	3.8	3.6	0	7.4	0	0	0	NA	NA	2021	17-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS26	1250	37817	17751	46.94	17649	17297	45.74	17297	45.74	1250	5.5	5.9	0	11.4	0	1	0	NA	Yes with GS27	2021	17-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS27	1250	5311	1247	23.48	1153	1128	21.24	1128	21.24	1250	4.8	4.9	0	9.7	0	1	0	NA	Yes with GS26	2021	17-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS28	HW1	85019	50956	59.93	50042	47313	55.65	46389	54.56	HW1	4.4	5.1	0	9.5	0	0	0	NA	Found on rock surface	2021	19-Oct	Salamander	442	8.7	359	0.0197	0.0043	1	0	-83.025167	35.001167
GS29	HW1	43986	26088	59.31	26009	24570	55.86	24570	55.86	HW1	5.6	6.8	0	12.4	0	0	0	NA	NA	2021	20-Oct	Salamander	442	8.7	359	0.0197	0.0043	1	0	-83.025167	35.001167
GS3	1251	47191	25269	53.55	24787	23757	50.34	23681	50.18	1251	5.2	5.8	0	11	0	1	0	NA	found with GS2	2021	8-Oct	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS30	BB	72530	39896	55.01	39611	38509	53.09	38471	53.04	BB	4.9	5.1	0	10	0	0	0	NA	Found in crevice behind moss wall	2021	21-Oct	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS31	1251	89196	50218	56.3	49618	47304	53.03	47087	52.79	1251	3.7	4.3	0	8	1	0	0	14	this is a recapture of GS2	2021	26-Oct	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS32	DNR	25220	12770	50.63	12484	11695	46.37	11659	46.23	DNR	5.2	6.2	0	11.4	0	1	0	16	"Yes with GS33, this is GS10"	2021	26-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS33	DNR	47228	24663	52.22	23871	21967	46.51	21866	46.3	DNR	5.6	5.8	0	11.4	0	1	0	NA	Yes with GS32	2021	26-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS34	3688	70294	38460	54.71	37363	34112	48.53	34112	48.53	3688	5.2	5.4	0	10.6	0	1	1	NA	with babies as roommate	2021	28-Oct	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS35	1251	68675	32309	47.05	31920	30511	44.43	30502	44.41	1251	3	3.2	0	6.2	0	0	0	NA	NA	2021	28-Oct	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS36	DNR	76281	39201	51.39	38344	35106	46.02	34815	45.64	DNR	5.1	5.3	0	10.4	1	0	0	2	"Found on rock face while raining, this is a recapture of GS33"	2021	28-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS37	3688	60382	33463	55.42	32540	28553	47.29	28469	47.15	3688	3.4	4	0	7.4	0	0	0	NA	NA	2021	3-Nov	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS38	3688	56550	27816	49.19	26956	24087	42.59	24087	42.59	3688	3.4	2.1	1	5.5	1	0	0	NA	"Likely a recapture of ID which previously had tail length of 1.6, recap of GS19"	2021	3-Nov	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS39	HW1	44036	24160	54.86	23848	23043	52.33	23014	52.26	HW1	3.4	3.8	0	7.2	0	0	0	NA	"Apparent lesions on ventrum, appears like Bsal or Bd   "	2021	4-Nov	Salamander	442	8.7	359	0.0197	0.0043	1	1	-83.025167	35.001167
GS4	1250	53493	26754	50.01	26481	24748	46.26	24634	46.05	1250	4.8	0.6	1	5.4	0	0	0	NA	missing tail	2021	8-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS40	1250	61519	32377	52.63	32012	30090	48.91	30058	48.86	1250	5.3	4.6	0	9.9	0	0	0	NA	NA	2021	4-Nov	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS41	1250	78115	42778	54.76	40825	37145	47.55	36852	47.18	1250	5.3	5.7	0	11	1	1	0	27	recap of GS51	2021	4-Nov	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS42	1250	21410	11773	54.99	11685	11533	53.87	11519	53.8	1250	NA	0.8	1	NA	1	0	0	25	"This is five arms salamander again, lost tail during capture , recap of gs8        "	2021	4-Nov	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS43	1250	62395	22230	35.63	21236	17173	27.52	17147	27.48	1250	4.7	1.5	1	6.2	1	0	0	27	recap of GS4	2021	4-Nov	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS44	3688	65488	31356	47.88	29437	24254	37.04	24122	36.83	3688	3.6	3.8	0	7.4	1	0	0	5	recap of GS37	2021	8-Nov	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS45	BB	47037	25689	54.61	25028	23049	49	23039	48.98	BB	5.1	0.9	1	6	1	0	0	19	"Drop tail during capture. Could not swab tail, recap og GS30"	2021	9-Nov	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS46	BB	32025	17240	53.83	16613	14599	45.59	14530	45.37	BB	4.6	5.6	0	10.2	0	0	0	NA	NA	2021	10-Nov	Salamander	259	NA	192	NA	NA	1	0	-82.852169	34.957622
GS47	1251	93380	49009	52.48	47576	43864	46.97	43540	46.63	1251	4.7	5.2	0	9.9	0	0	0	NA	Found on rock face	2021	11-Nov	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS48	1251	40200	20950	52.11	20483	19135	47.6	18881	46.97	1251	4.1	4.2	0	8.3	1	1	1	35	"with babies as roommate, recap of GS2"	2021	12-Nov	Salamander	57	NA	103	NA	NA	1	0	-82.796189	34.952367
GS49	HW1	83934	42883	51.09	41166	38481	45.85	38012	45.29	HW1	6.2	6.4	0	12.6	0	0	0	NA	On rock face	2021	12-Nov	Salamander	442	8.7	359	0.0197	0.0043	1	0	-83.025167	35.001167
GS5	1250	76093	35308	46.4	34748	32430	42.62	32363	42.53	1250	5.3	5.4	0	10.7	0	1	1	NA	"found with eggs as ""roommate)"	2021	8-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS50	HW1	78757	37985	48.23	36427	31063	39.44	31024	39.39	HW1	4.8	5.2	0	10	0	0	0	28	"recap of GS28, coding as not a recap since GS28 was excluded in pre-processing"	2021	11/16/21	Salamander	442	8.7	359	0.0197	0.0043	1	0	-83.025167	35.001167
GS56	1251	26229	19931	75.99	19058	17319	66.03	16243	61.93	1251	3.2	3.4	0	6.6	0	0	0	NA	NA	2022	12-Oct	Salamander	57	NA	103	NA	NA	2	0	-82.796189	34.952367
GS57M	1477	32952	24937	75.68	23689	21866	66.36	21037	63.84	1477	3.6	3.7	0	7.3	0	0	0	NA	NA	2022	27-Oct	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
GS58M	3688	31961	23686	74.11	23135	22638	70.83	20353	63.68	3688	3.3	1.9	0	5.2	0	0	0	NA	NA	2022	27-Oct	Salamander	57	14.2	419	0.2491	0.007	2	0	-82.590964	35.082069
GS59	NA	59143	46349	78.37	45149	42699	72.2	41583	70.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salamander	NA	NA	NA	NA	NA	2	0	NA	NA
GS6	3688	55911	30635	54.79	30474	29797	53.29	29438	52.65	3688	5.3	5.9	0	11.2	0	1	0	NA	found with 5 adults and many babies	2021	9-Oct	Salamander	57	14.2	419	0.2491	0.007	1	0	-82.590964	35.082069
GS60M	1292	50575	38682	76.48	37761	36041	71.26	34584	68.38	1292	3.6	3.7	0	7.3	0	0	0	NA	NA	2022	8-Nov	Salamander	175	14.9	6649	0.085	0.0074	2	0	-82.719235	35.039825
GS61C	1292	18887	14306	75.75	13928	13148	69.61	12865	68.12	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.719235	35.039825
GS61M	1292	53855	37440	69.52	36984	36119	67.07	34504	64.07	1292	2.7	2.8	0	5.5	0	0	0	NA	NA	2022	8-Nov	Salamander	175	14.9	6649	0.085	0.0074	2	0	-82.719235	35.039825
GS62C	TR2	43320	32543	75.12	29146	24128	55.7	23940	55.26	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.703852	35.03623
GS62M	TR2	55602	42939	77.23	42676	41751	75.09	40291	72.46	TR2	NA	NA	0	NA	0	0	0	NA	NA	2022	8-Nov	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
GS63C	TR2	40178	31456	78.29	29425	26531	66.03	26115	65	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.703852	35.03623
GS63M	TR2	43371	34483	79.51	34201	33317	76.82	32407	74.72	TR2	4.9	5.1	0	10	0	0	0	NA	NA	2022	8-Nov	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
GS64M	1477	20670	15861	76.73	15452	14498	70.14	13715	66.35	1477	4.6	6.1	0	10.7	0	0	0	NA	NA	2023	9/19/23 0:00	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
GS67M	TR2	28297	22667	80.1	22628	22532	79.63	22188	78.41	TR2	5.2	5.1	0	10.3	0	1	1	NA	Yes with babies	2023	10/3/23 0:00	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
GS69C	3688	30747	24737	80.45	23919	22531	73.28	22187	72.16	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.590964	35.082069
GS69M	3688	26629	18431	69.21	17661	16484	61.9	16388	61.54	3688	5.1	3.1	0	8.2	1	1	1	NA	recap of GS51	2023	10-Oct	Salamander	57	14.2	419	0.2491	0.007	2	0	-82.590964	35.082069
GS7	DNR	52190	25967	49.75	25399	23993	45.97	23880	45.76	DNR	5.5	6	0	11.5	0	0	0	NA	NA	2021	10-Oct	Salamander	220	17.6	1792	0.08	0.0082	1	0	-82.796764	34.951158
GS70M	1477	41483	29879	72.03	28859	27042	65.19	26299	63.4	1477	5.2	1.9	1	7.1	1	0	0	NA	"lost tail, recap of GS64"	2023	10-Oct	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
GS71M	1477	59851	42972	71.8	39566	35659	59.58	35306	58.99	1477	4.3	0.4	1	4.7	0	0	0	NA	lost tail	2023	10-Oct	Salamander	161	19.5	1681	0.1212	0.0096	2	0	-82.587383	35.081568
GS72C	1477	48264	38495	79.76	37012	35191	72.91	35081	72.69	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.587383	35.081568
GS72M	1477	38737	29579	76.36	27702	25368	65.49	25340	65.42	1477	4.3	3.6	1	7.9	0	0	0	NA	"lost tail, has Bd lesions"	2023	10-Oct	Salamander	161	19.5	1681	0.1212	0.0096	2	1	-82.587383	35.081568
GS73M	1292	21319	16685	78.26	16423	15554	72.96	15387	72.18	1292	4.5	4.6	0	9.1	0	0	0	NA	No	2023	26:55.8	Salamander	175	14.9	6649	0.085	0.0074	2	0	-82.719235	35.039825
GS74M	1292	26647	19571	73.45	18782	17018	63.86	16829	63.16	1292	4.7	5.2	0	9.9	0	0	0	NA	NA	2023	28:03.7	Salamander	175	14.9	6649	0.085	0.0074	2	0	-82.719235	35.039825
GS75M	TR2	39714	31331	78.89	28658	24177	60.88	24102	60.69	TR2	5.3	4.7	0	10	0	0	0	NA	NA	2023	04:51.7	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
GS76M	TR2	35352	28109	79.51	25295	20604	58.28	20558	58.15	TR2	4.4	4.2	0	8.6	0	0	0	NA	NA	2023	05:52.3	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
GS77M	DNR	53261	42991	80.72	40734	36014	67.62	34699	65.15	DNR	4.4	4.5	0	8.9	0	0	0	NA	No	2023	18:47.7	Salamander	220	17.6	1792	0.08	0.0082	2	0	-82.796764	34.951158
GS78M	DNR	38678	27853	72.01	26235	22733	58.78	22023	56.94	DNR	4.6	5.3	0	9.9	0	0	0	NA	No	2023	19:59.4	Salamander	220	17.6	1792	0.08	0.0082	2	0	-82.796764	34.951158
GS79C	DNR	45539	36512	80.18	35197	32613	71.62	32574	71.53	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796764	34.951158
GS79M	DNR	38125	28803	75.55	28490	27307	71.62	26924	70.62	DNR	4.7	5	0	9.7	0	0	0	NA	NA	2023	20:54.9	Salamander	220	17.6	1792	0.08	0.0082	2	0	-82.796764	34.951158
GS8	1250	39018	17763	45.53	17344	15136	38.79	15114	38.74	1250	5	4.6	0	9.6	0	0	0	NA	"5 arms, had travelled between pops 1250 and 1251"	2021	10-Oct	Salamander	200	17.6	1792	0.088	0.0082	1	0	-82.796467	34.95265
GS80C	1250	35204	27670	78.6	26818	25436	72.25	24931	70.82	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796467	34.95265
GS80M	1250	40081	29994	74.83	29425	28348	70.73	27678	69.06	1250	5.2	5.2	0	10.4	0	1	1	NA	"Yes, GS80-85"	2023	37:30.9	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS81M	1250	31763	23685	74.57	22938	21035	66.22	20841	65.61	1250	5	5.9	0	10.9	0	1	1	NA	"Yes, GS80-85"	2023	38:54.7	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS82M	1250	14384	6067	42.18	5684	4629	32.18	4601	31.99	1250	4.1	4.3	0	8.4	0	1	1	NA	"Yes, GS80-85"	2023	40:23.9	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS83M	1250	25378	18083	71.25	17435	15896	62.64	15841	62.42	1250	4.1	4.3	0	8.4	0	1	1	NA	"Yes, GS80-85"	2023	41:48.4	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS84M	1250	30103	23193	77.05	21911	19726	65.53	19406	64.47	1250	4.4	3.9	0	8.3	0	1	1	NA	"Yes, GS80-85"	2023	43:04.0	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS85M	1250	53853	43205	80.23	41306	38151	70.84	36629	68.02	1250	4.7	4.5	0	9.2	0	1	1	NA	NA	2023	44:23.9	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS86C	1250	40307	28715	71.24	28339	27642	68.58	27394	67.96	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.796467	34.95265
GS86M	1250	36458	26747	73.36	26104	24638	67.58	24566	67.38	1250	4.7	4.7	0	9.4	1	1	0	NA	"Yes, 2 adults, re of GS56"	2023	58:24.5	Salamander	200	17.6	1792	0.088	0.0082	2	0	-82.796467	34.95265
GS87C	TR2	32468	24865	76.58	23321	20894	64.35	20882	64.32	Crevice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Crevice	NA	NA	NA	NA	NA	2	0	-82.703852	35.03623
GS87M	TR2	34343	26086	75.96	25402	23831	69.39	23690	68.98	TR2	4.5	5	0	9.5	0	1	0	NA	Yes with gray cheeked	2023	11/20/23 21:03	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
GS88M	TR2	39824	31472	79.03	31177	30271	76.01	30135	75.67	TR2	4.9	5.5	0	10.4	1	0	0	NA	recap of GS67	2023	11/20/23 21:18	Salamander	169	7.2	1500	0.0427	0.0036	2	0	-82.703852	35.03623
